date,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,HOMICIDE,MOTOR VEHICLE THEFT,NARCOTICS,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,THEFT,WEAPONS VIOLATION
2013-08-23,55,134,53,2,105,2,33,98,10,28,3,221,13
2013-08-24,52,187,56,4,105,0,32,88,13,35,5,240,5
2013-08-25,52,207,50,4,114,4,48,79,5,37,2,229,6
2013-08-26,56,152,82,4,82,1,43,117,7,32,3,224,11
2013-08-27,53,147,66,4,82,4,27,94,10,37,1,211,13
2013-08-28,74,166,56,4,82,2,26,89,14,33,3,219,7
2013-08-29,51,156,65,5,57,2,30,107,7,28,0,215,10
2013-08-30,50,149,65,2,87,2,38,90,5,36,8,252,9
2013-08-31,48,171,43,0,69,3,36,70,6,33,3,223,11
2013-09-01,58,233,71,11,99,2,38,81,7,35,9,251,7
2013-09-02,64,193,42,2,101,5,29,95,7,37,3,228,10
2013-09-03,49,131,53,3,69,0,22,113,12,31,2,226,6
2013-09-04,55,141,49,3,64,1,34,100,10,34,3,196,9
2013-09-05,65,158,70,1,79,1,26,118,8,28,3,236,8
2013-09-06,57,142,51,6,75,0,41,105,15,39,3,222,4
2013-09-07,54,198,32,1,97,1,39,88,11,31,3,236,10
2013-09-08,44,213,42,3,101,2,22,74,17,38,4,177,12
2013-09-09,64,161,51,2,55,1,32,95,8,33,5,213,10
2013-09-10,60,174,49,2,94,2,26,102,10,24,4,204,16
2013-09-11,65,155,57,6,80,2,34,101,13,39,2,187,6
2013-09-12,69,155,71,6,68,2,26,97,12,24,4,208,7
2013-09-13,52,127,74,3,96,0,39,77,5,38,3,233,9
2013-09-14,29,174,52,3,102,1,30,58,15,43,2,222,3
2013-09-15,40,191,59,1,108,0,37,63,1,38,4,194,8
2013-09-16,62,116,58,1,85,0,29,71,11,31,2,199,9
2013-09-17,46,111,51,2,88,2,28,96,11,33,2,232,13
2013-09-18,53,154,47,2,76,1,27,73,3,35,2,247,5
2013-09-19,60,126,60,4,92,1,31,89,4,39,5,200,9
2013-09-20,54,160,77,1,94,5,24,82,10,38,2,257,13
2013-09-21,44,170,40,7,121,4,39,79,6,47,2,205,14
2013-09-22,52,155,46,7,103,0,26,75,7,31,1,167,4
2013-09-23,42,135,57,5,86,1,37,91,7,27,5,247,7
2013-09-24,50,133,79,3,87,0,42,93,13,46,2,223,15
2013-09-25,60,134,52,2,80,1,19,98,14,39,4,217,16
2013-09-26,60,126,44,4,78,3,42,94,5,32,3,219,9
2013-09-27,66,161,60,5,109,1,34,93,14,45,1,244,10
2013-09-28,54,180,47,3,117,0,43,82,10,46,3,223,7
2013-09-29,39,176,30,3,85,2,20,70,8,36,6,204,3
