date,ARSON,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,ATTEMPTED ROBBERY,BATTERY - SIMPLE ASSAULT,BATTERY ON A FIREFIGHTER,BATTERY POLICE (SIMPLE),BATTERY WITH SEXUAL CONTACT,BIKE - STOLEN,BOMB SCARE,BRANDISH WEAPON,BUNCO ATTEMPT,BUNCO GRAND THEFT,BUNCO PETTY THEFT,BURGLARY,BURGLARY FROM VEHICLE,BURGLARY FROM VEHICLE ATTEMPTED,BURGLARY ATTEMPTED,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,CHILD ANNOYING (17YRS & UNDER),CHILD NEGLECT (SEE 300 W.I.C.),CHILD PORNOGRAPHY,CHILD STEALING,CONTEMPT OF COURT,COUNTERFEIT,CREDIT CARDS FRAUD USE ($950.01 & OVER),CRIMINAL HOMICIDE,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),CRUELTY TO ANIMALS,DEFRAUDING INNKEEPER/THEFT OF SERVICES $950 & UNDER,DISCHARGE FIREARMS/SHOTS FIRED,DISTURBING THE PEACE,DOCUMENT FORGERY / STOLEN FELONY,DOCUMENT WORTHLESS ($200.01 & OVER),DRIVING WITHOUT OWNER CONSENT (DWOC),EMBEZZLEMENT GRAND THEFT ($950.01 & OVER),EMBEZZLEMENT PETTY THEFT ($950 & UNDER),EXTORTION,FAILURE TO YIELD,FALSE IMPRISONMENT,FALSE POLICE REPORT,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,ILLEGAL DUMPING,INDECENT EXPOSURE,INTIMATE PARTNER - AGGRAVATED ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT,KIDNAPPING,KIDNAPPING - GRAND ATTEMPT,LETTERS LEWD  -  TELEPHONE CALLS LEWD,LEWD CONDUCT,ORAL COPULATION,OTHER ASSAULT,OTHER MISCELLANEOUS CRIME,PANDERING,PEEPING TOM,PICKPOCKET,PIMPING,PROWLER,PURSE SNATCHING,RAPE ATTEMPTED,RAPE FORCIBLE,RECKLESS DRIVING,RESISTING ARREST,ROBBERY,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,SEXUNLAWFUL(INC MUTUAL CONSENT PENETRATION W/ FRGN OBJ,SEXUAL PENETRATION W/FOREIGN OBJECT,SHOPLIFTING - PETTY THEFT ($950 & UNDER),SHOPLIFTING-GRAND THEFT ($950.01 & OVER),SHOTS FIRED AT INHABITED DWELLING,SHOTS FIRED AT MOVING VEHICLE TRAIN OR AIRCRAFT,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,STALKING,THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT OF IDENTITY,THEFT PLAIN - ATTEMPT,THEFT PLAIN - PETTY ($950 & UNDER),THEFT PERSON,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,THREATENING PHONE CALLS/LETTERS,THROWING OBJECT AT MOVING VEHICLE,TRESPASSING,UNAUTHORIZED COMPUTER ACCESS,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),VANDALISM - MISDEAMEANOR ($399 OR UNDER),VEHICLE - ATTEMPT STOLEN,VEHICLE - STOLEN,VEHICLE STOLEN - OTHER (MOTORIZED SCOOTERS BIKES ETC),VIOLATION OF COURT ORDER,VIOLATION OF RESTRAINING ORDER,VIOLATION OF TEMPORARY RESTRAINING ORDER
2011-06-22,1,6,18,3,49,0,2,2,2,0,0,0,2,1,31,52,0,0,0,5,0,2,0,0,0,0,0,4,14,2,0,0,1,1,8,0,0,2,0,0,0,0,0,0,0,0,2,21,2,1,8,0,1,1,4,0,0,1,0,0,1,0,1,0,1,35,0,1,0,12,0,0,0,0,0,0,9,13,28,0,49,3,24,1,0,2,0,24,23,0,68,0,11,4,0
2011-06-23,0,0,19,5,37,0,2,5,0,0,0,0,2,0,38,39,1,5,4,6,0,5,0,0,0,2,0,0,16,3,1,0,1,0,15,0,0,4,0,1,0,0,0,0,1,0,1,30,1,0,5,0,0,1,4,0,0,0,0,0,1,0,2,0,5,24,0,1,0,8,0,0,0,1,1,0,6,16,26,1,52,1,19,2,0,5,0,25,39,1,42,0,6,10,1
2011-06-24,0,0,26,3,56,0,0,5,0,1,2,0,0,1,56,46,1,4,1,3,2,1,0,4,0,1,0,0,14,3,1,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,28,1,1,4,0,0,1,15,1,0,1,0,0,0,0,2,0,0,24,0,0,0,6,1,1,0,1,0,0,6,23,27,0,46,3,20,5,0,6,1,34,35,1,36,0,13,5,0
2011-06-25,2,0,26,5,70,0,2,2,0,0,1,0,2,0,29,41,2,5,1,5,2,4,0,0,0,0,0,0,15,3,1,0,1,1,3,0,0,1,0,2,0,0,0,0,0,0,0,41,0,1,5,0,1,0,8,0,1,0,0,0,0,0,1,0,0,23,0,1,0,8,0,1,0,1,0,0,9,22,27,1,50,4,19,2,2,4,0,43,37,0,45,0,9,2,0
2011-06-26,2,0,37,2,57,0,2,2,2,0,3,0,0,0,30,53,0,2,3,0,0,2,0,0,0,0,0,1,7,2,3,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,42,0,0,6,0,0,0,5,0,0,0,0,1,1,0,6,0,3,30,0,0,0,14,0,2,0,0,0,0,6,22,10,1,31,7,17,2,2,7,1,29,29,2,53,0,5,2,0
2011-06-27,1,1,22,4,67,0,0,1,1,0,2,0,1,0,34,40,0,3,1,3,0,2,0,1,0,0,0,0,18,1,0,0,0,3,7,0,0,1,0,1,0,0,0,0,0,0,1,33,0,0,7,0,0,1,6,1,2,0,0,0,0,0,1,0,2,36,1,0,0,7,0,0,0,0,0,1,6,13,42,0,43,3,26,2,0,3,0,16,25,1,52,0,11,6,0
2011-06-28,0,0,20,3,58,0,1,2,0,0,1,1,1,1,48,53,3,5,0,1,0,3,0,0,0,0,0,0,20,1,0,1,2,0,8,0,1,3,0,0,0,0,0,0,0,0,0,20,2,0,10,1,0,0,4,0,0,0,0,0,1,1,0,0,0,33,0,2,0,9,1,2,2,0,0,0,7,23,32,1,35,5,19,1,0,6,0,17,14,0,49,0,8,2,0
2011-06-29,0,0,30,4,55,0,0,2,1,0,2,0,0,1,38,34,1,5,0,2,0,0,0,0,0,0,0,1,19,0,0,1,0,0,8,0,0,2,0,0,0,1,0,0,0,1,1,21,0,1,4,0,0,1,9,0,0,0,0,0,1,0,0,0,2,27,1,1,1,10,0,2,0,0,0,0,6,19,29,0,44,2,17,1,1,0,0,20,25,0,43,0,7,1,1
2011-06-30,1,0,20,1,39,0,2,2,2,1,3,0,0,0,64,36,1,4,0,3,1,3,0,0,0,1,0,0,21,2,0,0,1,1,5,0,0,3,0,0,0,0,1,0,0,1,1,23,0,1,4,0,0,0,8,0,0,0,0,2,1,0,3,0,0,24,0,2,0,6,0,0,0,0,1,1,7,18,31,0,49,4,25,1,1,7,0,23,25,0,50,0,4,5,0
2011-07-01,1,1,26,4,45,0,0,6,1,1,3,0,2,1,68,43,3,8,0,3,6,4,0,2,0,0,0,1,22,34,0,1,1,0,11,0,0,7,0,0,0,0,0,0,0,1,1,22,0,1,21,0,1,1,9,0,0,0,1,0,0,2,17,0,9,26,1,11,0,4,1,1,0,0,2,0,7,32,134,0,45,1,44,2,0,2,1,25,35,2,60,0,9,4,0
2011-07-02,1,0,17,5,66,0,3,4,3,0,4,0,1,1,43,26,1,0,0,1,1,3,0,1,0,0,0,0,18,4,2,1,0,3,5,0,0,4,0,1,0,0,0,0,0,1,0,43,1,0,7,0,1,0,15,0,1,0,0,0,0,1,3,0,2,32,1,3,0,14,1,0,0,0,1,0,5,24,28,0,45,3,14,0,0,1,0,27,39,1,50,0,6,4,0
2011-07-03,0,1,29,3,51,0,1,4,0,0,1,0,0,0,44,40,2,5,1,0,0,0,0,0,0,0,0,1,16,1,1,2,0,2,4,0,0,1,0,0,0,0,0,0,0,1,3,33,2,0,3,0,0,0,2,0,0,0,0,1,1,0,3,0,2,25,0,0,1,8,1,1,0,0,0,0,3,17,13,1,35,4,15,1,1,4,1,20,29,0,43,0,5,6,0
2011-07-04,2,0,25,2,69,0,0,1,2,2,1,0,1,0,23,24,1,1,1,1,0,1,0,0,0,0,0,1,17,2,0,1,1,1,5,0,0,1,0,0,0,1,0,0,0,1,1,49,0,0,5,1,0,0,15,1,0,0,0,0,0,0,3,1,4,13,0,2,0,5,0,0,0,1,1,2,1,12,20,0,38,2,15,3,0,1,0,27,31,2,39,0,11,1,0
2011-07-05,1,0,20,4,53,1,1,1,0,0,1,1,0,0,38,35,3,5,0,1,0,4,0,0,0,0,0,1,25,4,0,0,1,0,11,0,0,0,0,1,0,0,0,0,0,1,0,35,0,0,7,0,1,0,12,0,1,0,0,1,1,0,1,0,0,22,0,2,0,7,0,1,0,1,2,0,5,17,44,0,33,5,22,1,2,0,1,30,45,1,51,0,9,5,0
2011-07-06,0,0,30,0,55,0,0,4,1,0,1,0,0,1,52,28,0,4,0,0,1,2,0,1,0,0,0,2,16,0,1,0,2,2,6,0,0,3,0,0,0,0,0,0,0,0,2,23,1,0,4,0,0,0,4,0,0,0,0,0,0,2,1,0,0,22,0,1,0,10,1,0,0,0,0,0,8,13,32,0,52,8,23,1,1,2,1,18,25,0,47,0,4,5,0
2011-07-07,1,0,30,4,43,0,1,2,1,0,1,0,3,0,38,39,0,6,3,3,0,3,0,2,0,0,0,1,12,4,2,0,0,0,11,0,0,1,0,0,0,0,0,0,0,2,4,24,0,0,6,1,0,0,7,0,0,0,0,1,2,0,0,0,0,21,0,0,0,8,2,1,0,1,1,0,3,23,32,1,35,4,21,0,1,6,0,10,31,1,43,0,11,5,0
2011-07-08,0,0,25,2,61,0,1,2,2,0,1,0,4,1,56,31,1,6,0,2,1,1,0,0,0,0,0,0,16,2,2,0,0,3,8,0,0,2,0,0,0,0,0,0,0,0,2,22,2,0,6,0,0,3,9,0,0,0,0,0,1,0,2,0,0,19,1,0,0,10,0,2,0,0,0,1,6,25,43,1,42,1,19,2,1,9,0,27,37,2,55,0,9,5,0
2011-07-09,2,0,19,0,69,0,3,1,2,0,1,0,0,1,27,37,0,2,2,2,0,3,0,1,0,0,0,0,17,4,0,0,2,0,10,0,0,0,0,0,0,0,2,0,0,0,0,25,0,0,9,0,0,0,6,0,0,0,0,0,1,0,4,0,4,31,0,1,0,7,0,1,0,0,0,0,5,16,13,0,38,5,22,2,0,2,0,27,32,0,42,0,6,5,0
