date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-05-06,8,22,117,5,3,23,12,15,0,0,17,0,2,6,22,27,2,80,5,0,1,2,0,10,17,35,61,0,58,7
2006-05-07,9,20,136,1,7,13,18,11,0,2,10,0,1,3,21,22,1,72,3,0,0,3,0,14,14,41,47,0,82,6
2006-05-08,8,15,98,2,14,28,11,8,3,0,29,1,2,0,30,31,0,88,3,0,1,6,0,12,15,52,61,2,62,9
2006-05-09,14,18,134,2,3,22,5,18,1,3,39,0,1,4,31,65,0,101,3,5,0,1,0,10,22,37,61,2,60,14
2006-05-10,17,23,133,3,9,20,7,16,2,4,32,0,1,3,17,48,2,84,5,3,1,3,0,8,26,39,66,2,66,11
2006-05-11,9,14,124,2,73,24,8,10,1,3,28,1,1,8,14,41,0,95,6,10,1,3,1,16,13,39,69,1,63,12
2006-05-12,10,9,82,0,5,19,9,14,1,4,36,9,3,0,22,22,4,87,7,8,0,2,0,14,20,52,67,1,60,3
2006-05-13,12,25,135,3,5,17,14,8,0,0,24,0,1,2,20,18,0,72,1,3,1,2,0,10,23,37,64,2,77,4
2006-05-14,9,19,88,6,7,20,12,10,0,1,10,0,1,0,19,23,0,67,4,0,1,4,0,18,13,45,50,0,73,3
2006-05-15,8,13,94,2,6,23,10,5,0,2,30,0,2,0,30,31,1,65,2,0,0,3,0,11,20,44,57,1,68,5
2006-05-16,10,17,117,1,6,15,4,18,1,1,37,0,2,0,29,33,1,64,6,3,1,3,1,18,14,63,60,1,69,6
2006-05-17,14,19,127,3,6,22,5,15,4,1,34,2,0,0,19,48,0,88,7,15,0,2,0,12,15,40,71,1,53,10
2006-05-18,10,21,126,0,6,26,13,13,4,4,30,0,0,1,23,38,0,68,10,3,2,1,0,10,18,49,70,1,55,8
2006-05-19,6,28,98,3,7,26,10,10,1,3,22,0,0,5,23,39,0,88,6,7,3,4,1,19,10,56,60,0,47,8
2006-05-20,8,18,132,1,9,24,19,23,0,0,10,0,1,2,21,31,1,79,2,7,1,2,0,12,7,36,54,1,77,3
2006-05-21,16,23,196,5,9,26,18,8,2,1,10,1,3,2,27,22,0,78,0,0,2,1,0,7,19,52,44,0,94,3
2006-05-22,14,28,122,1,17,28,9,14,2,1,32,0,0,0,25,40,2,86,10,0,0,1,1,8,24,55,84,2,90,3
2006-05-23,5,26,135,1,6,22,10,17,0,2,34,2,0,0,31,57,1,84,5,5,0,1,0,13,12,59,76,1,77,11
2006-05-24,12,19,143,4,9,18,9,21,1,2,44,1,0,0,18,46,2,58,6,7,0,5,0,18,16,54,64,1,68,9
2006-05-25,16,22,152,3,6,20,7,9,1,2,27,0,0,0,22,31,0,74,2,8,0,6,1,15,17,45,70,4,66,7
2006-05-26,6,20,83,2,11,25,10,17,1,4,26,1,1,7,21,31,0,69,7,6,1,3,2,13,12,52,70,2,82,5
2006-05-27,19,21,120,1,1,27,19,12,0,1,15,1,0,8,25,27,0,69,4,6,0,2,0,8,17,48,68,4,73,6
2006-05-28,18,34,124,1,6,23,17,8,1,1,16,0,2,0,28,14,1,80,2,0,0,4,2,11,17,51,56,0,93,6
2006-05-29,24,17,105,2,4,23,13,12,0,0,6,0,0,2,26,18,2,90,8,0,0,6,0,16,15,41,46,0,61,8
2006-05-30,7,20,98,1,15,26,10,6,1,1,27,0,1,2,33,46,0,85,2,6,1,2,0,12,23,52,72,3,86,10
2006-05-31,12,20,122,2,9,25,6,9,0,4,32,0,1,1,24,35,3,95,8,6,2,8,0,15,14,56,80,0,66,9
2006-06-01,6,12,70,1,7,17,4,5,0,1,16,0,5,0,18,27,0,53,5,6,0,3,0,14,15,31,40,1,45,1
2006-06-02,12,24,66,0,11,22,6,4,1,3,28,3,1,0,28,39,0,80,0,0,0,3,0,16,22,64,65,2,42,7
2006-06-03,15,21,100,1,11,17,16,7,2,2,16,0,0,2,32,23,0,74,2,0,2,3,0,10,16,44,78,1,62,3
2006-06-04,11,28,284,4,7,16,22,23,0,1,6,2,0,2,24,48,0,80,4,0,0,2,1,15,19,50,51,0,72,9
2006-06-05,7,24,158,1,4,29,6,10,3,0,35,0,1,0,36,50,0,79,4,0,0,2,0,26,27,59,88,0,69,3
2006-06-06,11,32,181,3,6,22,5,15,2,0,43,0,4,1,27,42,0,78,6,6,1,2,1,14,10,59,59,2,71,11
2006-06-07,2,13,168,0,12,17,5,9,1,2,42,2,3,0,22,46,2,70,4,5,0,4,1,12,12,60,64,2,56,5
2006-06-08,3,17,103,3,6,15,6,7,2,2,28,0,0,0,19,35,0,72,5,5,2,1,0,12,15,62,67,3,45,8
2006-06-09,6,25,146,0,7,12,10,14,2,0,27,1,1,2,14,26,0,83,4,5,0,2,0,10,25,53,65,3,49,6
2006-06-10,5,22,147,0,8,31,10,14,3,1,13,2,0,0,24,31,1,65,3,9,1,1,0,14,14,37,59,3,90,4
2006-06-11,11,28,132,4,7,17,21,6,0,1,7,0,0,0,25,22,1,80,3,0,3,3,0,18,16,46,49,0,78,5
2006-06-12,6,34,117,2,13,30,4,5,1,1,39,0,1,0,31,42,1,80,3,0,0,4,0,15,20,55,60,1,74,7
2006-06-13,7,19,157,2,7,25,7,17,3,2,31,0,1,2,25,41,0,67,3,9,1,4,3,9,12,40,71,2,73,5
2006-06-14,11,28,188,2,6,29,8,10,2,0,29,0,0,5,22,46,3,86,5,5,0,3,2,11,22,38,70,3,45,9
