date,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FORGERY/COUNTERFEITING,FRAUD,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SECONDARY CODES,SEX OFFENSES FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
2003-02-25,3,45,0,0,12,3,1,31,4,0,0,7,5,0,81,1,0,3,29,60,13,0,10,7,0,3,0,13,3,14,31,26,10
2003-02-26,0,33,2,0,18,6,3,40,3,1,0,14,9,1,85,0,0,4,26,90,15,0,8,0,1,1,0,10,2,14,47,29,5
2003-02-27,0,28,0,0,17,2,0,25,2,2,1,6,5,1,92,0,0,10,18,56,1,0,12,3,2,2,2,12,1,16,41,44,8
2003-02-28,0,27,0,0,14,2,1,34,3,0,0,5,10,1,83,2,0,4,31,63,0,0,9,4,0,7,0,10,6,18,52,25,4
2003-03-01,0,34,2,0,19,5,2,21,4,1,0,7,14,2,88,0,0,6,45,61,1,0,10,1,3,5,0,23,4,21,43,21,4
2003-03-02,0,37,1,0,11,0,0,30,1,1,0,7,5,0,60,0,1,4,24,42,0,0,17,2,2,4,0,7,6,21,34,17,2
2003-03-03,2,32,0,0,8,3,2,21,4,0,0,9,9,1,71,0,0,6,30,64,0,0,6,2,1,5,0,9,2,12,46,22,4
2003-03-04,0,29,1,0,15,3,0,34,1,1,0,4,9,0,79,1,1,7,31,75,1,0,6,5,2,2,0,14,2,12,44,56,8
2003-03-05,2,30,1,0,17,1,0,21,2,1,0,7,7,1,70,1,1,5,22,76,1,0,4,4,2,2,0,15,4,18,47,26,2
2003-03-06,1,34,0,0,29,2,2,25,2,1,0,4,7,1,65,0,0,5,36,63,3,0,5,3,2,5,1,16,3,18,40,21,1
2003-03-07,0,28,0,0,27,5,1,21,3,0,0,2,7,1,96,1,0,5,42,60,16,0,18,1,4,1,0,17,8,21,45,29,1
2003-03-08,0,29,0,0,21,2,0,31,3,1,0,5,10,0,86,0,0,3,36,51,0,0,9,2,0,2,0,7,2,16,48,21,4
2003-03-09,1,29,0,0,8,0,1,33,1,0,0,3,5,3,70,2,0,4,24,44,0,0,9,2,0,0,0,13,6,19,48,17,3
2003-03-10,0,33,1,0,16,7,0,31,0,0,0,9,7,0,67,1,0,7,29,63,0,0,5,3,0,0,1,12,7,25,35,28,6
2003-03-11,1,37,0,0,28,4,0,39,1,1,1,6,10,0,80,0,0,3,27,53,3,0,9,0,2,5,0,16,1,16,44,36,5
2003-03-12,0,41,1,0,25,6,0,40,1,2,1,15,16,0,83,1,0,3,29,87,7,0,10,2,0,3,0,9,1,19,59,29,3
2003-03-13,0,40,1,0,15,3,1,28,1,0,0,8,7,1,79,1,2,9,31,52,3,0,6,4,0,3,0,11,2,21,45,26,4
2003-03-14,0,28,1,0,31,3,2,30,3,1,0,6,8,0,84,0,2,5,40,79,10,0,6,3,1,4,0,11,8,26,52,19,3
2003-03-15,0,40,0,0,8,3,0,22,2,0,0,5,13,3,89,0,8,6,33,33,0,0,9,4,0,0,0,8,2,24,52,19,4
2003-03-16,1,30,0,0,9,1,0,13,1,0,0,1,6,1,76,0,0,6,19,38,1,0,8,8,0,3,0,7,6,29,59,16,2
2003-03-17,2,33,0,0,27,3,0,16,3,0,0,4,13,1,70,0,2,6,34,45,0,0,13,3,0,3,1,8,4,22,44,21,6
2003-03-18,2,42,0,0,18,0,1,22,0,0,0,9,16,2,66,3,0,4,30,55,8,0,16,2,0,2,1,8,5,12,42,26,4
2003-03-19,0,28,0,0,15,4,0,24,2,0,0,4,7,0,64,0,2,5,15,46,7,0,11,4,3,1,0,8,2,13,34,16,4
2003-03-20,0,55,0,0,19,5,1,3,0,2,0,7,4,0,79,0,15,6,36,88,0,0,7,2,0,0,0,12,4,35,35,15,1
2003-03-21,2,41,1,0,17,3,0,1,1,0,1,9,9,0,82,0,3,1,27,39,1,0,8,2,0,1,1,9,4,26,64,15,3
2003-03-22,1,37,0,0,13,0,1,9,0,0,0,3,8,0,76,0,1,7,34,46,0,0,16,3,2,0,0,11,1,30,36,15,5
2003-03-23,1,20,0,0,19,0,2,4,4,0,0,5,9,0,80,0,1,5,29,23,0,0,4,3,0,2,0,5,2,22,49,10,3
2003-03-24,1,44,2,0,15,3,0,2,1,0,0,9,13,1,84,0,0,7,27,44,0,0,8,2,2,3,0,11,8,17,34,15,1
