crime_type,trigger,lag,trigger_family_class,epoch,k_cities,g_meta,ci_lo,ci_hi,se_hk,p_meta,tau2,Q,p_Q,I2,cities
ASSAULT,PHASE_New,1,PHASE,PRE2014,2,-0.059887916676467055,-0.7879784132685338,0.6682025799155996,0.05730196480341892,0.4859544105013825,0.0,0.5858170590691945,0.44404120980251816,0.0,chicago;sf
ASSAULT,PHASE_New,WIN3,PHASE,PRE2014,2,0.05681569448147399,-0.39023072426181454,0.5038621132247625,0.035183316184217196,0.3529778469841627,4.946116518956372e-05,1.0202728884442769,0.31245428799097846,1.9870064836466645,chicago;sf
ASSAULT,PHASE_Quadrature,-1,PHASE,PRE,2,0.023731252890924297,-0.4376381052237676,0.48510061100561624,0.03631055595946934,0.6314759542390959,0.0,0.01479041917350351,0.9032032465023981,0.0,chicago;sf
ASSAULT,PHASE_Quadrature,0,PHASE,PRE,2,0.014182574647201983,-0.44718647080725776,0.4755516201016617,0.036310531352575406,0.7629424452965055,0.0,0.2670435277540276,0.6053219293248182,0.0,chicago;sf
ASSAULT,PHASE_Quadrature,1,PHASE,PRE,2,0.009219208264178663,-0.5798414014664349,0.5982798179947922,0.04636007540801062,0.8750314927266759,0.001646260736273719,1.614995922932383,0.20379094882389484,38.08033903984857,chicago;sf
ASSAULT,PHASE_Quadrature,WIN3,PHASE,PRE,2,0.01640329890550112,-0.27597355329298745,0.3087801511039897,0.02301055730356412,0.6057384501974887,0.0,0.21364995618191823,0.6439215240230751,0.0,chicago;sf
ASSAULT,PHASE_Quadrature,-1,PHASE,PRE2014,2,0.029006034038786963,-0.4995374000255829,0.5575494681031569,0.04159727039096845,0.612352195252377,0.0,0.06102976408471976,0.8048756974664908,0.0,chicago;sf
ASSAULT,PHASE_Quadrature,0,PHASE,PRE2014,2,0.014472487476040838,-0.5140652385516653,0.5430102135037469,0.0415968211587404,0.7868449198799092,0.0,0.15552612735805607,0.6933093582848449,0.0,chicago;sf
ASSAULT,PHASE_Quadrature,1,PHASE,PRE2014,2,0.006531568360426224,-0.8109484009231209,0.8240115376439734,0.06433706887624854,0.9355903517355858,0.004805194796771541,2.379963639632571,0.12290040744902678,57.98255135719702,chicago;sf
ASSAULT,PHASE_Quadrature,WIN3,PHASE,PRE2014,2,0.01763768535643297,-0.3173596898930113,0.3526350606058772,0.026364865213364376,0.6246454681553709,0.0,0.5400797031379574,0.46239969676653203,0.0,chicago;sf
