family,trigger,lag,trigger_family_class,epoch,is_primary,k_meta,k_cities,g_meta,ci_lo,ci_hi,se_hk,p_meta,tau2,Q,p_Q,I2,TIER,tier_notes,city_details
AGGRESSION_TOTAL,PHASE_LastQ,-1,PHASE,POST,True,4,4,-0.14591533005437068,-0.3277333945473,0.03590273443855865,0.05713154191825052,0.08364869794739646,0.0,1.145102444293038,0.7661988190882995,0.0,N/A,Secondary trigger or non-PRE epoch,"PHILLY[0.095, -0.404] CHICAGO[-0.022, -0.127] LA[-0.102, -0.410] NYC[-0.115, -0.289]"
AGGRESSION_TOTAL,PHASE_LastQ,0,PHASE,POST,True,4,4,0.0025564933771675463,-0.17708773427103447,0.18220072102536955,0.0564484708979735,0.9667230045538542,0.0,0.8921548446576206,0.8273206013003591,0.0,N/A,Secondary trigger or non-PRE epoch,"NYC[0.313, -0.116] PHILLY[0.028, 0.000] CHICAGO[0.015, -0.115] LA[-0.017, -0.040]"
AGGRESSION_TOTAL,PHASE_LastQ,1,PHASE,POST,True,4,4,0.0039339127905571175,-0.17570435597639977,0.18357218155751404,0.05644659847636023,0.9488237902184551,0.0,2.0551572337709145,0.5610378912688698,0.0,N/A,Secondary trigger or non-PRE epoch,"LA[0.259, -0.025] CHICAGO[0.069, 0.012] PHILLY[0.044, -0.016] NYC[-0.084, -0.221]"
AGGRESSION_TOTAL,PHASE_LastQ,WIN3,PHASE,POST,True,4,4,-0.04524989979018857,-0.15484456939840419,0.06434476981802703,0.03443724075603104,0.2802946163877056,0.0,0.32871721647076474,0.9545400873120271,0.0,N/A,Secondary trigger or non-PRE epoch,"PHILLY[0.046, -0.128] LA[0.042, -0.146] CHICAGO[-0.013, -0.041] NYC[-0.062, -0.104]"
AGGRESSION_TOTAL,PHASE_LastQ,-1,PHASE,PRE,True,5,5,0.0016924226267605068,-0.09907443258344271,0.10245927783696372,0.036293480112953434,0.9650421434980214,0.0020492756693246384,6.334217026199788,0.17554039002928634,36.85091648336213,NULL,p_meta ≥ 0.05 or k_cities < 2,"PHILLY[0.137] CHICAGO[0.064, 0.005] SF[0.007] LA[0.000, -0.147] NYC[-0.060, -0.081]"
AGGRESSION_TOTAL,PHASE_LastQ,0,PHASE,PRE,True,5,5,0.02691135892034683,-0.049763423968559255,0.10358614180925291,0.027616171033010083,0.3849983639472501,0.0,0.8004486824580193,0.9383879021617715,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"CHICAGO[0.073, 0.004] SF[0.057] PHILLY[0.055] LA[0.043, -0.033] NYC[0.036, -0.052]"
AGGRESSION_TOTAL,PHASE_LastQ,1,PHASE,PRE,True,5,5,0.02830995956610106,-0.04836600143795976,0.10498592057016189,0.02761659535804087,0.36325683814243753,0.0,2.4343029986087545,0.656437208455859,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"NYC[0.099, -0.002] CHICAGO[0.067, 0.040] PHILLY[0.062] LA[0.052, -0.038] SF[-0.071]"
AGGRESSION_TOTAL,PHASE_LastQ,WIN3,PHASE,PRE,True,5,5,0.018696099579350846,-0.030755415153408273,0.06814761431210997,0.017811090390435113,0.35309468549499123,8.569578489550899e-05,4.4465830137757125,0.348928425506353,10.043285201067391,NULL,p_meta ≥ 0.05 or k_cities < 2,"PHILLY[0.085] CHICAGO[0.059, 0.025] LA[0.002, -0.042] SF[-0.003] NYC[-0.004, -0.016]"
AGGRESSION_TOTAL,PHASE_LastQ,-1,PHASE,PRE2014,True,5,5,0.001460553460202486,-0.0936386957840488,0.09655980270445379,0.034252162618384006,0.9680312056584102,0.0,2.5403179915719,0.63743107556905,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"LA[0.090, -0.165] PHILLY[0.063] CHICAGO[0.041, 0.026] SF[0.027] NYC[-0.090, -0.102]"
AGGRESSION_TOTAL,PHASE_LastQ,0,PHASE,PRE2014,True,5,5,0.03478477319286857,-0.06031465995703918,0.1298842063427763,0.034252228856198726,0.3672777186438718,0.0,1.0385872977346895,0.9038895306094026,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"CHICAGO[0.093, -0.006] PHILLY[0.087] NYC[0.075, -0.122] SF[0.063] LA[0.047, -0.027]"
