family,trigger,epoch,lag,city,crime_type,g,var_g,n_target,n_ctrl,p_mw,p_mw_fdr
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,WIN3,la,BATTERY - SIMPLE ASSAULT,0.0355480811768583,0.0031202208149958,375,2206,0.6489687893441807,0.9474314725559452
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,WIN3,sf,ASSAULT,0.01151751714871,0.002099540654425,558,3253,0.6107687398576749,0.9252997408753754
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,-1,chicago,ASSAULT,0.0511356067195081,0.0060771321330747,174,3034,0.5464316871045583,0.9949300645645568
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,-1,chicago,BATTERY,0.040380059956068,0.0060769786238682,174,3034,0.5927763923328678,0.9949300645645568
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,-1,philly,Aggravated Assault No Firearm,-0.1598827342764921,0.0094470649801603,112,1952,0.1298533195194384,0.7338888112640342
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,-1,nyc,ASSAULT 3 & RELATED OFFENSES,0.1476489596734591,0.0121593762991642,87,1519,0.2023692886233085,0.9973216237938318
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,-1,nyc,FELONY ASSAULT,0.078150801507316,0.0121544845698885,87,1519,0.6955113208072152,0.9973216237938318
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,-1,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,0.0883390064309676,0.0170540990084567,62,1085,0.8312789401366024,0.9470268598847184
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,-1,la,BATTERY - SIMPLE ASSAULT,0.127229355788509,0.0170577599381148,62,1085,0.4575679754703876,0.9024218828104776
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,-1,sf,ASSAULT,0.008865829496511,0.0070958912103119,149,2601,0.7567218270518808,0.8823663176116666
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,0,chicago,ASSAULT,0.0043965842558729,0.0060767273420078,174,3034,0.8577600792980887,0.9758225155572056
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,0,chicago,BATTERY,-0.0244492260768465,0.0060768175532839,174,3034,0.9245992929720432,0.9758225155572056
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,0,philly,Aggravated Assault No Firearm,-0.0834327732199695,0.0094425544415879,112,1952,0.3389284910001739,0.9012169283188688
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,0,nyc,ASSAULT 3 & RELATED OFFENSES,0.1580879462280447,0.0121603711817858,87,1519,0.0925870864178203,0.914933960357118
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,0,nyc,FELONY ASSAULT,0.1189355896493463,0.0121569902203589,87,1519,0.3247095172832023,0.914933960357118
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,0,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,0.103305275342986,0.017055351497477,62,1085,0.4763964228098334,0.7869787749429051
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,0,la,BATTERY - SIMPLE ASSAULT,0.0462084991035845,0.0170516236570734,62,1085,0.5232158908427785,0.7981259351838995
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,0,sf,ASSAULT,0.0016779138311623,0.0070958774207308,149,2601,0.902096339240371,0.9895164001417324
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,1,chicago,ASSAULT,0.0568727653391428,0.0060772287739298,174,3034,0.6108260174593935,0.9735773333419644
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,1,chicago,BATTERY,-0.0015046552984564,0.0060767246804411,174,3034,0.6948779587760644,0.9798358143024188
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,1,philly,Aggravated Assault No Firearm,0.2374558166985531,0.0094545389802001,112,1952,0.0060220736848219,0.5058541895250399
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,1,nyc,ASSAULT 3 & RELATED OFFENSES,0.1853533337437469,0.0121632901529788,87,1519,0.0430345926017461,0.8257544107108226
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,1,nyc,FELONY ASSAULT,0.1487010935515725,0.0121594734936564,87,1519,0.1640962962080312,0.8257544107108226
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,1,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,-0.2131438147606405,0.0170705297969779,62,1085,0.1512696894282564,0.9645209320545314
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,1,la,BATTERY - SIMPLE ASSAULT,-0.1593842429996711,0.0170617844044652,62,1085,0.2378362795982278,0.9645209320545314
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,1,sf,ASSAULT,-0.0539509932754757,0.0070964065135766,149,2601,0.5925249016398059,0.8495189169242596
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,WIN3,chicago,ASSAULT,0.0375249427152983,0.0022455048065658,522,3034,0.6089862499102415,0.8758952859882464
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,WIN3,chicago,BATTERY,0.0047967215357582,0.0022453099398258,522,3034,0.9790672264814024,0.9887621636966218
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,WIN3,philly,Aggravated Assault No Firearm,-0.0016833480845171,0.0034884861779435,336,1952,0.8799373473016531,0.9354608155395788
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,WIN3,nyc,ASSAULT 3 & RELATED OFFENSES,0.1638519509007913,0.004497295376686,261,1519,0.0063078151046567,0.3973923515933777
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,WIN3,nyc,FELONY ASSAULT,0.1156356798656308,0.0044935057671933,261,1519,0.1290229500432585,0.9670254836358478
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,WIN3,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,-0.0078065483105115,0.0062980270840943,186,1085,0.7798982700846706,0.974975484287243
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,WIN3,la,BATTERY - SIMPLE ASSAULT,0.004425476680139,0.0062980107888411,186,1085,0.9122832087574352,0.974975484287243
AGGRESSION_TOTAL,PHASE_FirstQ,PRE2014,WIN3,sf,ASSAULT,-0.0143927785814095,0.0026216379817715,447,2601,0.9552721777375852,0.9813545865730102
AGGRESSION_TOTAL,PHASE_Full,POST,-1,chicago,ASSAULT,-0.0798687393602218,0.0185399116114859,57,1007,0.9853300815233366,0.985860266826792
AGGRESSION_TOTAL,PHASE_Full,POST,-1,chicago,BATTERY,-0.0144390201343086,0.0185370064654291,57,1007,0.985860266826792,0.985860266826792
