db_name,signal_title,crime_type,trigger,trigger_family_class,epoch,lag,is_primary,n_target,n_ctrl,g,ci_lo,ci_hi,p_mw,p_mw_fdr,delta_pct,slice_sign_frac,perm_pass_count,p_placebo_emp,TIER,tier_notes
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Syzygy,PHASE,PRE2014,1,True,247,2167,0.0214221196626807,,,0.8600791004144919,0.9990533220984475,0.1959519148335475,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Syzygy,PHASE,PRE2014,WIN3,True,741,2167,0.0014074641290187,-0.0745568278347426,0.0882282292032973,0.993448650038562,0.993448650038562,0.0128999698175702,0.4,0,0.97,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Quadrature,PHASE,PRE2014,-1,True,248,2167,-0.0573426032715124,,,0.3153094663687262,0.9974630741851356,-0.5220102841480112,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Quadrature,PHASE,PRE2014,0,True,248,2167,0.0169202544738492,-0.1140994930225954,0.1446738492734547,0.9125015456276891,0.9983855909334398,0.1553417132786894,0.6,0,0.75,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Quadrature,PHASE,PRE2014,1,True,248,2167,0.0217969566701964,,,0.7808815980810833,0.9990533220984475,0.2004600457506056,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Quadrature,PHASE,PRE2014,WIN3,True,744,2167,-0.0060944827120205,-0.0885994024182621,0.0731931375609693,0.7459814528313187,0.993448650038562,-0.055949989626014,0.6,0,0.895,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Full,PHASE,PRE2014,-1,True,123,2167,-0.1153028380184462,,,0.1743886207328743,0.9974630741851356,-1.046768187530811,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Full,PHASE,PRE2014,0,True,123,2167,0.0619899873377497,-0.1340889901870948,0.2760199451971714,0.531138351523477,0.9983855909334398,0.5709171801162816,0.6,0,0.515,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Full,PHASE,PRE2014,1,True,123,2167,0.0183221481844059,,,0.946631408324691,0.9990533220984475,0.1674272398168863,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Full,PHASE,PRE2014,WIN3,True,369,2167,-0.0115078750397097,-0.1173447943366569,0.0989988991412248,0.7152692151171153,0.993448650038562,-0.1051794740906109,0.4,0,0.83,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_New,PHASE,PRE2014,-1,True,124,2167,-0.0097196944595626,,,0.7648911111311749,0.9974630741851356,-0.0888843927749238,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_New,PHASE,PRE2014,0,True,124,2167,0.0278293971447708,-0.1512255711349356,0.2138510140763024,0.8439161129311148,0.9983855909334398,0.2554874577432198,0.4,0,0.735,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_New,PHASE,PRE2014,1,True,124,2167,0.0244612002759734,,,0.8503662230456953,0.9990533220984475,0.2242545771155235,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_New,PHASE,PRE2014,WIN3,True,372,2167,0.0141817683438404,-0.0996096161615129,0.1259670458973011,0.707258645670605,0.993448650038562,0.1301650502014029,0.6,0,0.79,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_FirstQ,PHASE,PRE2014,-1,True,124,2167,-0.081093878644725,,,0.3786955395162356,0.9974630741851356,-0.7367303944786241,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_FirstQ,PHASE,PRE2014,0,True,124,2167,0.0403092125844087,-0.1331776349663583,0.2093533309878297,0.7627619650559132,0.9983855909334398,0.3680634102811053,0.6,0,0.68,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_FirstQ,PHASE,PRE2014,1,True,124,2167,-0.0540274376601441,,,0.5099482604685837,0.9990533220984475,-0.4941519245176717,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_FirstQ,PHASE,PRE2014,WIN3,True,372,2167,-0.0317472637683333,-0.1442534732475043,0.074364256329,0.4973777950834795,0.993448650038562,-0.2887313117387102,0.6,0,0.565,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_LastQ,PHASE,PRE2014,-1,True,124,2167,-0.0335573057927928,,,0.5635280826146455,0.9974630741851356,-0.3068257046742295,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_LastQ,PHASE,PRE2014,0,True,124,2167,-0.0061826546520078,-0.2143965090984122,0.1963561255139027,0.8868914726947461,0.9983855909334398,-0.0569291379184044,0.4,0,0.955,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_LastQ,PHASE,PRE2014,1,True,124,2167,0.0977200457167145,,,0.2878356886062871,0.9990533220984475,0.8999208344408371,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_LastQ,PHASE,PRE2014,WIN3,True,372,2167,0.0192022482848048,-0.0905928273134214,0.1318138661387511,0.850831757245721,0.993448650038562,0.1773747730088759,0.8,0,0.735,NULL,p_mw >= 0.05
NYC_EMS,🧠 Psychiatry | ALTMEN — Altered mental status,ALTMEN,WAVE_event,WAVE,PRE2014,-1,True,988,2664,0.0124720438912626,,,0.4864844564685986,0.9982242650502056,0.1864025662442703,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🧠 Psychiatry | ALTMEN — Altered mental status,ALTMEN,WAVE_event,WAVE,PRE2014,0,True,988,2664,0.0078540711007896,-0.0662216709300489,0.0869423666564955,0.9223669366572658,0.9984541737171204,0.1173446633765618,0.4,0,0.795,NULL,p_mw >= 0.05
NYC_EMS,🧠 Psychiatry | ALTMEN — Altered mental status,ALTMEN,WAVE_event,WAVE,PRE2014,1,True,988,2664,0.0278575857755518,,,0.4483133043578901,0.996559298397828,0.4168023631885731,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🧠 Psychiatry | ALTMEN — Altered mental status,ALTMEN,WAVE_event,WAVE,PRE2014,WIN3,True,2964,688,0.0622059375342711,-0.0199792063768479,0.1420698286238497,0.1232392659557986,0.9938108278784372,0.9329056027058912,0.8,0,,NULL,p_mw >= 0.05
NYC_EMS,🧠 Psychiatry | ALTMEN — Altered mental status,ALTMEN,WAVE_syzygy,WAVE,PRE2014,-1,True,494,3158,-0.0072076524028076,,,0.8075088920911273,0.9982242650502056,-0.1075660712129722,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🧠 Psychiatry | ALTMEN — Altered mental status,ALTMEN,WAVE_syzygy,WAVE,PRE2014,0,True,494,3158,-0.0242967511188468,-0.1190364651071594,0.0662538754089929,0.5557434289877459,0.9984541737171204,-0.362128021170216,0.8,0,0.63,NULL,p_mw >= 0.05
NYC_EMS,🧠 Psychiatry | ALTMEN — Altered mental status,ALTMEN,WAVE_syzygy,WAVE,PRE2014,1,True,494,3158,0.0645545817713657,,,0.0930607799994556,0.996559298397828,0.968349048423156,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
