db_name,signal_title,crime_type,trigger,trigger_family_class,epoch,lag,is_primary,n_target,n_ctrl,g,ci_lo,ci_hi,p_mw,p_mw_fdr,delta_pct,slice_sign_frac,perm_pass_count,p_placebo_emp,TIER,tier_notes
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_after_quadrature,WAVE,PRE,1,True,53,737,0.1140098180432668,,,0.3441354966623347,0.9960568740865424,4.706034047004271,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_after_quadrature,WAVE,PRE,WIN3,True,159,631,0.1060957553662834,-0.0617959707878428,0.2685048007990875,0.1540548330134019,0.9996239122196258,4.37009509195907,0.6,0,0.25,NULL,p_mw >= 0.05
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,PHASE_Syzygy,PHASE,PRE,-1,True,53,470,-0.1113674866057951,,,0.4219663056407243,0.973054236668194,-4.494477557631472,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,PHASE_Syzygy,PHASE,PRE,0,True,54,470,0.1470469111396676,-0.1120233532026311,0.4037668587918267,0.2293995726991312,0.9911396627360192,6.249939705926955,0.8,0,0.27,NULL,p_mw >= 0.05
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,PHASE_Syzygy,PHASE,PRE,1,True,54,470,0.0300674074350481,,,0.9579952940892836,0.9980928361222128,1.267650080679461,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,PHASE_Syzygy,PHASE,PRE,WIN3,True,161,470,0.0229043358217578,-0.1432934936117977,0.2002615190253658,0.8519792102352328,0.9935216995709376,0.9464780915497296,0.4,0,0.82,NULL,p_mw >= 0.05
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,PHASE_Quadrature,PHASE,PRE,-1,True,53,470,-0.0872991461676358,,,0.3335573404784562,0.973054236668194,-3.561843751151472,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,PHASE_Quadrature,PHASE,PRE,0,True,53,470,0.0240515276870664,-0.2313150410193096,0.2896249905359885,0.8415472767916,0.9911396627360192,0.9989358304027808,0.6,0,0.855,NULL,p_mw >= 0.05
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,PHASE_Quadrature,PHASE,PRE,1,True,53,470,-0.038753597877514,,,0.7688500333323591,0.9980928361222128,-1.5916424026121143,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,PHASE_Quadrature,PHASE,PRE,WIN3,True,159,470,-0.0344853823596366,-0.2049059793133136,0.1406198164419731,0.5764137652407884,0.9555244086772852,-1.40250223821623,0.6,0,0.71,NULL,p_mw >= 0.05
