city,epoch,crime_type,trigger,trigger_family,lag,mean_raw,n_days_epoch,R2_A,R2_B,n_target,n_ctrl,g,var_g,p_mw,p_mw_fdr,delta_pct,g_lo,g_hi,qp_coef,qp_p,model_disagree,p_perm_14,p_perm_28,p_perm_circ,slice_g_1,slice_g_2,slice_g_3,slice_g_4,slice_g_5,slice_sign_frac,slice_g_iqr,n_slices_valid,g_placebo_mean,p_placebo_emp,argmax_lag,status_flag,config_hash
nyc_ems,PRE2014,ABDPN,PHASE_New,PHASE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,124,2167,-0.009719694459562625,0.00852600423176206,0.7648911111311749,0.9974630741851355,-0.08888439277492388,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_New,PHASE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,124,2167,0.027829397144770816,0.008526152768871071,0.8439161129311148,0.9983855909334398,0.2554874577432198,-0.15122557113493568,0.2138510140763024,0.005655192519042132,0.5099186210807439,0.0,0.76,0.752,0.766,-0.13737518298963816,-0.03531857395272896,0.1831686619330451,0.14318024596589288,-0.011009319441430944,0.4,0.17849881991862182,5.0,-0.009051647850381235,0.735,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_New,PHASE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,124,2167,0.024461200275973496,0.00852611429682509,0.8503662230456953,0.9990533220984475,0.22425457711552355,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_New,PHASE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,372,2167,0.014181768343840441,0.003149679147424554,0.707258645670605,0.9934486500385621,0.1301650502014029,-0.09960961616151291,0.12596704589730112,0.002394950096450372,0.6419660814745574,0.0,0.819,0.838,0.765,-0.06744006913672135,-0.036722376246650014,0.1431451115123235,0.02235119082365489,0.01975892953005043,0.6,0.05907356707030491,5.0,0.01076570279852917,0.79,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_FirstQ,PHASE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,124,2167,-0.08109387864472507,0.008527420078134548,0.3786955395162356,0.9974630741851355,-0.7367303944786241,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_FirstQ,PHASE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,124,2167,0.040309212584408734,0.00852633851751103,0.7627619650559132,0.9983855909334398,0.36806341028110534,-0.13317763496635837,0.2093533309878297,0.004083828098394013,0.6349129650515688,0.0,0.628,0.649,0.619,0.195824189401016,-0.14487905168223586,0.15169142866684937,0.007756775973390731,-0.008141011790834405,0.6,0.15983244045768377,5.0,-0.006490898170765663,0.68,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_FirstQ,PHASE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,124,2167,-0.054027437660144145,0.008526621202395465,0.5099482604685837,0.9990533220984475,-0.49415192451767176,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_FirstQ,PHASE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,372,2167,-0.03174726376833336,0.0031498381474646445,0.49737779508347957,0.9934486500385621,-0.28873131173871025,-0.14425347324750434,0.07436425632900008,-0.0036438422183509497,0.4805056085043231,0.0,0.6,0.619,0.518,0.08436392365931505,-0.058976274749420826,0.04793879495334595,-0.15948313373898967,-0.06919823691178185,0.6,0.1171370318651278,5.0,-0.005557661355929646,0.565,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_LastQ,PHASE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,124,2167,-0.0335573057927928,0.00852622957477466,0.5635280826146455,0.9974630741851355,-0.30682570467422954,,,,,,,,,,,,,,,,,,,1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_LastQ,PHASE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,124,2167,-0.006182654652007824,0.008525991945339638,0.8868914726947461,0.9983855909334398,-0.05692913791840448,-0.21439650909841226,0.19635612551390272,-0.00013494161222710188,0.9875159129719522,0.0,0.936,0.934,0.936,-0.10384841009594106,0.045185668237204615,0.17705843807865687,0.05829144649926943,-0.22480335617867764,0.4,0.1621398565952105,5.0,-0.008933837302331733,0.955,1,OK,bd64cffe73
